college,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
California-Irvine,31.0,180.34,74.84268,38.0,1.5,0.5,0.8,3.8,0.032,0.0579999999999999,0.1159999999999999,0.625,0.191
California-Santa Barbara,25.25,199.39,100.35723,37.75,4.375,2.5,1.525,-5.125,0.06424999999999997,0.19,0.17725000000000002,0.4805,0.15249999999999997
Centenary (LA),36.5,203.2,96.161504,24.5,3.25,2.05,0.35,6.050000000000001,0.0785,0.1815,0.21100000000000002,0.471,0.06249999999999995
Central Arkansas,31.0,200.66,103.418976,82.0,20.2,6.5,5.7,13.5,0.059,0.133,0.245,0.5539999999999999,0.237
Central Connecticut State,24.0,213.36,110.44965199999999,34.0,3.35,2.7,0.3,-11.3,0.10199999999999995,0.152,0.164,0.427,0.048999999999999946
Central Florida,25.666666666666668,195.58,96.01030666666668,14.666666666666666,2.6999999999999997,1.0333333333333334,0.3666666666666667,15.200000000000003,0.03933333333333334,0.08433333333333333,0.212,0.40066666666666667,0.056999999999999995
Central Michigan,27.0,209.12666666666667,110.82764533333334,41.666666666666664,6.733333333333333,4.466666666666666,1.6333333333333335,-0.6999999999999998,0.08566666666666667,0.18466666666666662,0.164,0.476,0.112
Central Oklahoma,24.0,205.74,95.25432,67.0,7.0,2.7,0.5,6.1,0.059,0.127,0.181,0.569,0.048
Central State (OH),23.0,223.52,155.582056,35.0,3.2,1.2,0.3,-4.0,0.093,0.1639999999999999,0.284,0.56,0.107
Cincinnati,23.5,198.27875,99.3649975,35.1875,5.3,2.5,1.40625,-2.8375000000000004,0.0634375,0.13924999999999998,0.19193749999999998,0.458625,0.1435
Clemson,24.857142857142858,201.56714285714287,102.54419142857144,46.714285714285715,5.978571428571429,3.685714285714286,0.9142857142857144,-11.635714285714286,0.0817142857142857,0.13757142857142857,0.19535714285714284,0.46071428571428574,0.08557142857142855
Cleveland State,23.5,189.23000000000002,82.78054,38.5,4.25,1.0499999999999998,1.6,-0.4,0.024499999999999952,0.0765,0.21749999999999994,0.42400000000000004,0.25799999999999995
Colgate,23.0,208.28,113.398,55.0,3.0,3.3,0.3,-11.8,0.1119999999999999,0.182,0.162,0.418,0.037
College of Charleston,23.0,191.77,94.12034,30.75,3.475,1.0,1.5,-8.775,0.009749999999999976,0.1105,0.15375,0.3145,0.16425
Colorado,22.77777777777778,198.68444444444447,95.00232444444445,43.22222222222222,5.444444444444445,1.8555555555555554,1.2333333333333334,-2.622222222222222,0.050444444444444424,0.10577777777777775,0.20166666666666666,0.5035555555555555,0.14188888888888887
Colorado State,23.75,198.755,94.80072799999999,35.0,2.35,1.45,0.475,3.05,0.036750000000000005,0.13299999999999995,0.1575,0.3735,0.10949999999999997
